Date,Open,High,Low,Close,Volume
2020-05-01,29.13,29.72,28.325,28.39,19290192
2020-04-30,30.5,31.05,29.75,30.27,20095396
2020-04-29,31.0,32.0,30.33,31.37,28288120
2020-04-28,31.0,31.83,29.36,30.12,27383197
2020-04-27,29.74,30.49,29.4112,30.08,31705827
2020-04-24,28.51,29.59,28.14,29.49,20648859
2020-04-23,28.75,29.25,28.2414,28.33,26992375
2020-04-22,27.97,28.56,27.51,28.24,21222358
2020-04-21,27.5,28.15,26.6,27.19,20969116
2020-04-20,27.07,28.76,26.9,28.19,32224037
2020-04-17,28.69,28.79,27.26,28.0,34129827
2020-04-16,27.21,28.05,26.46,27.03,24088739
2020-04-15,26.82,27.79,26.44,27.41,18720881
2020-04-14,28.0,28.77,27.013,27.75,32625332
2020-04-13,27.04,28.08,26.47,27.99,24671570
2020-04-09,27.88,28.89,26.46,27.11,36190207
2020-04-08,26.0,27.8781,25.79,26.94,36166872
2020-04-07,27.95,28.11,25.5,25.74,36433762
2020-04-06,24.13,26.09,23.93,25.99,34692625
2020-04-03,23.73,23.79,21.67,22.82,40572024
2020-04-02,25.01,25.2,23.0,23.68,35838237
2020-04-01,26.5,26.767,24.8101,25.42,38538381
2020-03-31,27.75,28.25,26.92,27.92,43126370
2020-03-30,26.33,28.39,25.31,27.83,37725659
2020-03-27,25.82,28.03,25.07,27.28,40292212
2020-03-26,26.6,28.44,25.78,28.12,41370842
2020-03-25,26.18,28.45,25.3104,26.19,52473945
2020-03-24,24.41,26.84,23.59,26.39,58505016
2020-03-23,21.07,22.73,19.73,22.4,47787094
2020-03-20,22.53,23.89,20.61,21.33,76529684
2020-03-19,15.96,21.26,15.7,20.49,83988721
2020-03-18,17.76,17.8,13.71,14.82,78286212
2020-03-17,20.18,20.31,18.01,18.91,60003887
2020-03-16,20.15,21.49,19.1,20.29,56913952
2020-03-13,24.01,24.81,21.13,22.6,53844417
2020-03-12,23.26,24.69,22.11,22.61,54041976
2020-03-11,27.91,28.14,25.61,26.24,43212769
2020-03-10,29.47,29.86,27.0,28.97,36308321
2020-03-09,28.5,30.32,28.15,28.17,37439161
2020-03-06,31.23,32.41,30.45,31.68,34808733
2020-03-05,33.47,33.57,31.97,32.21,32764549
2020-03-04,33.9,35.34,32.28,34.53,44738640
2020-03-03,34.02,34.18,31.9,33.04,35182366
2020-03-02,34.05,34.08,31.74,32.85,46662023
2020-02-28,31.81,34.29,31.0,33.87,52100204
2020-02-27,32.03,34.16,30.67,32.45,66557245
2020-02-26,35.53,36.165,33.89,34.45,44108921
2020-02-25,38.9,39.15,35.5,35.89,49281558
2020-02-24,38.21,39.14,37.75,38.31,37123158
2020-02-21,40.89,40.89,40.05,40.72,20600617
2020-02-20,41.0,41.19,39.85,40.92,25446394
2020-02-19,40.42,41.23,40.115,41.05,23287326
2020-02-18,39.49,40.27,39.45,40.18,22168471
2020-02-14,40.04,40.31,38.7,39.66,32014221
2020-02-13,40.93,41.55,40.0,40.09,23850949
2020-02-12,41.5,41.86,41.065,41.25,26444893
2020-02-11,40.25,41.465,40.05,41.27,33895964
2020-02-10,40.65,41.34,39.96,40.01,60840787
2020-02-07,39.98,41.0,38.86,40.63,112325800
2020-02-06,37.3,37.39,36.73,37.09,52699343
2020-02-05,38.89,38.97,36.735,36.81,38413313
2020-02-04,37.87,38.99,37.26,38.53,32425930
2020-02-03,36.75,37.64,36.53,37.59,23537344
2020-01-31,37.0,37.04,35.69,36.29,21553665
2020-01-30,36.82,37.1319,35.95,36.68,22846954
2020-01-29,36.98,37.565,36.8,36.99,16882299
2020-01-28,37.14,37.33,36.04,37.01,28973963
2020-01-27,35.23,36.65,34.19,36.3,18817966
2020-01-24,37.5,37.665,36.25,36.8,21598009
2020-01-23,36.97,37.95,36.725,37.4,21365954
2020-01-22,37.94,37.94,36.92,37.04,29765240
2020-01-21,35.5,37.8,35.41,37.6,48746661
2020-01-17,34.97,35.25,34.65,35.13,17251231
2020-01-16,35.03,35.06,34.18,34.68,21955292
2020-01-15,34.9,35.1493,34.51,35.01,20762167
2020-01-14,34.2,35.02,33.92,34.84,26029814
2020-01-13,34.29,34.34,33.55,34.14,16833139
2020-01-10,34.08,34.99,33.835,34.01,34276990
2020-01-09,34.45,34.47,33.22,33.97,29407616
2020-01-08,32.73,34.52,32.46,33.93,43955449
2020-01-07,31.79,32.84,31.36,32.81,30268966
2020-01-06,31.01,32.06,31.0,31.58,21215865
2020-01-03,30.62,31.43,30.48,31.37,18831450
2020-01-02,29.94,31.0,29.79,30.99,20583240
2019-12-31,29.11,29.95,28.9,29.74,16233064
2019-12-30,30.13,30.2,29.35,29.74,18812846
2019-12-27,30.8,31.06,30.17,30.17,18465965
2019-12-26,30.47,30.79,30.03,30.67,22224500
2019-12-24,30.33,30.84,30.11,30.44,12938593
2019-12-23,30.49,30.94,29.83,30.33,31212255
2019-12-20,30.1,31.03,29.85,30.45,95461687
2019-12-19,29.84,30.17,29.5301,29.99,33816868
2019-12-18,29.62,30.14,29.34,30.13,35389841
2019-12-17,30.37,30.42,29.53,29.75,38254270
2019-12-16,29.11,30.13,29.1,30.05,57408195
2019-12-13,28.58,28.84,28.27,28.49,25439340
2019-12-12,28.29,28.75,28.19,28.69,23581479
2019-12-11,27.99,28.545,27.8497,28.42,23286546
2019-12-10,27.73,27.993000000000002,27.605,27.89,23604938
2019-12-09,27.96,28.36,27.68,27.68,21098387
2019-12-06,28.4,28.925,27.8001,27.86,33144371
2019-12-05,28.94,28.99,28.18,28.65,22567274
2019-12-04,29.1,29.2,28.7,29.06,22526474
2019-12-03,28.195,29.33,28.15,29.02,25389163
2019-12-02,29.32,29.525,28.7,28.98,17423896
2019-11-29,29.41,29.85,29.25,29.6,8115145
2019-11-27,29.42,29.59,28.88,29.49,22421386
2019-11-26,29.49,30.15,29.36,29.53,29590489
2019-11-25,28.69,29.6,28.38,29.11,37571611
2019-11-22,29.84,30.13,29.21,29.56,44383876
2019-11-21,28.67,29.6,28.5,29.46,55658629
2019-11-20,27.06,28.4,26.945,28.03,54075774
2019-11-19,26.77,27.22,26.61,27.05,34115865
2019-11-18,26.8,27.0,26.3,26.75,37309667
2019-11-15,26.18,26.8,25.955,26.79,41372771
2019-11-14,26.8,26.86,25.665,25.99,28027875
2019-11-13,26.47,26.82,26.14,26.71,34512663
2019-11-12,27.38,27.66,26.66,26.7,37095389
2019-11-11,27.03,27.21,26.23,27.14,41445732
2019-11-08,27.48,27.62,26.915,27.01,45263118
2019-11-07,26.8,27.42,26.45,27.38,65949472
2019-11-06,26.06,27.55,25.58,26.94,133569790
2019-11-05,29.13,29.3,27.97,28.02,52180615
2019-11-04,31.45,31.75,30.12,31.08,32330121
2019-11-01,31.45,31.7,30.7412,31.37,10460430
2019-10-31,33.23,33.36,31.26,31.5,16130023
2019-10-30,32.51,33.8,32.11,33.75,10861056
2019-10-29,32.37,32.92,31.8146,32.42,9357355
2019-10-28,32.88,33.355,32.5,33.22,8073107
2019-10-25,33.2,33.48,32.61,32.71,8106804
2019-10-24,33.0,33.42,32.51,33.28,6789619
2019-10-23,32.87,33.27,32.17,33.05,6843199
2019-10-22,31.41,33.89,30.22,32.53,19244283
2019-10-21,31.95,32.2828,31.185,31.41,7232322
2019-10-18,32.55,32.66,31.27,32.06,8074207
2019-10-17,31.8,32.93,31.45,32.62,7239293
2019-10-16,31.8,32.38,31.4376,31.87,7802690
2019-10-15,31.2,32.17,31.195,32.0,7904528
2019-10-14,30.22,31.54,29.8186,31.12,7966943
2019-10-11,28.96,30.4,28.94,30.13,10298616
2019-10-10,29.21,29.28,28.58,28.87,7797845
2019-10-09,29.62,29.62,28.81,29.07,7162775
2019-10-08,30.01,30.15,29.17,29.28,7806911
2019-10-07,30.62,30.75,29.83,30.37,10151451
2019-10-04,29.9,30.18,28.9,29.67,8633938
2019-10-03,28.97,29.88,28.52,29.72,9461973
2019-10-02,28.67,29.55,28.31,29.0,9371270
2019-10-01,30.37,30.51,28.65,29.15,13448055
2019-09-30,30.4,30.735,30.17,30.47,5021190
2019-09-27,31.71,31.9,30.13,30.29,11875115
2019-09-26,31.72,32.13,31.13,31.57,6062457
2019-09-25,31.27,31.72,30.76,31.68,7879880
2019-09-24,33.0,33.1453,31.01,31.3,10625791
2019-09-23,32.52,33.01,32.06,33.0,5526412
2019-09-20,33.98,34.2173,32.5,32.6,12026857
2019-09-19,34.2,34.64,33.68,33.82,6884274
2019-09-18,34.35,34.89,33.75,34.26,6624433
2019-09-17,34.75,34.75,33.55,34.29,5588258
2019-09-16,33.6,34.8,33.47,34.43,7942590
2019-09-13,34.25,34.435,32.94,33.25,9428551
2019-09-12,34.14,34.4862,33.33,34.07,7734849
2019-09-11,33.38,35.14,33.02,34.0,14715771
2019-09-10,32.0,33.74,31.65,33.51,10817138
2019-09-09,32.05,32.39,31.46,32.24,7448418
2019-09-06,32.71,32.74,31.41,31.86,7035967
2019-09-05,32.33,33.03,32.25,32.51,7938083
2019-09-04,30.91,32.36,30.85,31.99,10367329
2019-09-03,32.1,32.53,30.665,30.7,12194312
2019-08-30,33.0,33.13,32.04,32.57,6636847
2019-08-29,32.9,33.3,32.6,32.76,5811175
2019-08-28,32.56,33.05,32.26,32.59,6261038
2019-08-27,33.69,34.24,32.98,33.11,6596129
2019-08-26,33.67,33.83,33.06,33.31,5669714
2019-08-23,33.65,34.23,33.12,33.43,8186706
2019-08-22,34.8,34.91,33.52,34.0,8516485
2019-08-21,35.46,35.83,34.75,34.91,7949074
2019-08-20,34.48,36.07,34.39,35.29,10766387
2019-08-19,35.53,35.8,34.37,34.61,10853126
2019-08-16,33.46,35.48,33.4,35.23,13883152
2019-08-15,34.52,34.55,32.92,33.22,13265793
2019-08-14,36.0,36.2999,33.36,33.96,24481636
2019-08-13,37.0,37.46,36.12,36.45,19031422
2019-08-12,39.84,39.95,37.0,37.0,20632310
2019-08-09,39.56,40.68,38.71,40.05,35138775
2019-08-08,41.98,43.0,41.25,42.97,29610463
2019-08-07,39.06,39.99,38.32,39.7,8896039
2019-08-06,39.68,40.808,38.36,39.15,8570273
2019-08-05,39.35,39.42,38.4325,39.05,9799269
2019-08-02,40.4,41.06,39.95,40.4,8225677
2019-08-01,42.14,42.5355,41.0,41.31,7349740
2019-07-31,42.6,42.98,41.84,42.14,5970774
2019-07-30,43.71,43.74,42.49,42.59,7686342
2019-07-29,45.0,45.626999999999995,43.12,43.88,8652204
2019-07-26,43.42,44.96,43.39,44.52,7598828
2019-07-25,43.72,43.96,43.21,43.4,4411991
2019-07-24,43.36,43.87,43.36,43.76,3775677
2019-07-23,43.75,44.31,43.11,43.36,5110090
2019-07-22,43.25,43.72,43.01,43.69,3822276
2019-07-19,43.9,44.086000000000006,43.16,43.18,4021018
2019-07-18,43.5,43.85,43.19,43.71,4123615
2019-07-17,44.06,44.35,43.52,43.62,5854149
2019-07-16,44.6,44.98,44.02,44.13,5613321
2019-07-15,44.2,44.7,43.97,44.53,5811160
2019-07-12,44.16,44.24,43.39,43.99,8760526
2019-07-11,44.1,44.29,43.31,43.99,8050856
2019-07-10,44.48,44.8,43.56,43.7,9746505
2019-07-09,43.18,44.23,42.98,44.2,5251564
2019-07-08,43.59,43.85,42.75,42.95,9304101
2019-07-05,44.31,44.55,43.01,43.53,8239452
2019-07-03,44.0,44.46,43.79,44.23,3380003
2019-07-02,44.55,44.68,43.75,44.0,11881274
2019-07-01,46.98,47.04,44.06,44.27,17739998
2019-06-28,45.1,47.08,45.08,46.38,28657002
2019-06-27,43.35,45.3,43.2,45.13,20155079
2019-06-26,43.25,43.4,42.36,42.5,8109056
2019-06-25,43.28,43.79,42.4431,43.09,5755107
2019-06-24,44.0,44.07,42.82,43.09,5985052
2019-06-21,43.85,44.14,43.38,44.0,4973987
2019-06-20,45.03,45.29,43.51,43.86,9567367
2019-06-19,44.46,45.5,43.95,44.86,10331520
2019-06-18,44.3,44.89,43.75,43.86,7313602
2019-06-17,43.28,44.07899999999999,42.93,43.78,6557589
2019-06-14,44.75,44.8,43.11,43.23,7902223
2019-06-13,43.05,44.35,42.8,44.31,10178935
2019-06-12,42.52,42.65,41.71,42.17,5965250
2019-06-11,43.22,43.65,41.8,42.45,9095044
2019-06-10,44.02,44.59,42.53,42.61,11618701
2019-06-07,44.92,45.67,44.13,44.16,12654670
2019-06-06,45.0,45.75,44.28,44.92,16403691
2019-06-05,42.87,45.66,42.5,45.0,28609604
2019-06-04,42.56,42.88,40.7,42.75,23432141
2019-06-03,40.7435,41.85,40.24,41.25,16605261
2019-05-31,41.15,41.57,39.41,40.41,23209848
2019-05-30,40.07,40.38,39.5,39.8,26451864
2019-05-29,40.52,40.71,39.1473,39.94,14060447
2019-05-28,41.7,41.8,40.6,40.95,13391605
2019-05-24,41.28,41.51,40.5,41.51,8786751
2019-05-23,40.8,41.09,40.02,40.47,11119870
2019-05-22,41.05,41.28,40.5,41.25,9089469
2019-05-21,42.0,42.24,41.25,41.5,10802851
2019-05-20,41.19,41.68,39.46,41.59,29222330
2019-05-17,41.98,43.29,41.27,41.91,20225687
2019-05-16,41.48,44.06,41.25,43.0,38115524
2019-05-15,39.37,41.88,38.95,41.29,36086065
2019-05-14,38.31,39.96,36.85,39.96,46661147
2019-05-13,38.79,39.24,36.08,37.1,79442420
2019-05-10,42.0,45.0,41.06,41.57,186322536
